geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037132301,6037132301,2021,4032,3613,89.608131
1400000US06037132302,6037132302,2021,3311,3054,92.237991
1400000US06037132501,6037132501,2021,4329,3952,91.29129
1400000US06037132502,6037132502,2021,3103,2917,94.005798
1400000US06037132700,6037132700,2021,4642,4047,87.182251
1400000US06037132900,6037132900,2021,3686,3341,90.640259
1400000US06037133000,6037133000,2021,4362,3875,88.835396
1400000US06037133101,6037133101,2021,1647,1485,90.163933
1400000US06037133102,6037133102,2021,3483,2971,85.300026
1400000US06037134001,6037134001,2021,3727,3488,93.587334
1400000US06037134002,6037134002,2021,3760,3566,94.840424
1400000US06037134101,6037134101,2021,5212,4515,86.627014
1400000US06037134103,6037134103,2021,4310,4049,93.944313
1400000US06037134104,6037134104,2021,4241,3892,91.770805
1400000US06037134201,6037134201,2021,4497,4296,95.530357
1400000US06037134302,6037134302,2021,4036,3904,96.729439
1400000US06037134303,6037134303,2021,5439,5114,94.024635
1400000US06037134304,6037134304,2021,2661,2212,83.12664
1400000US06037134305,6037134305,2021,3679,3495,94.998642
1400000US06037134306,6037134306,2021,4221,4044,95.806679
1400000US06037134421,6037134421,2021,4407,4189,95.053322
1400000US06037134422,6037134422,2021,4743,4323,91.144844
1400000US06037134423,6037134423,2021,3322,3118,93.859123
1400000US06037134424,6037134424,2021,2789,2583,92.613838
1400000US06037134520,6037134520,2021,5323,4751,89.254181
1400000US06037134521,6037134521,2021,3040,2818,92.697365
1400000US06037134522,6037134522,2021,4414,3739,84.707748
1400000US06037134710,6037134710,2021,5337,4957,92.879898
1400000US06037134720,6037134720,2021,5366,4712,87.812149
1400000US06037134801,6037134801,2021,2973,2821,94.887321
1400000US06037134802,6037134802,2021,2790,2598,93.118279
1400000US06037134901,6037134901,2021,2569,2463,95.873878
1400000US06037134904,6037134904,2021,4640,4267,91.961205
1400000US06037134905,6037134905,2021,4996,3771,75.480385
1400000US06037134906,6037134906,2021,3269,2414,73.845215
1400000US06037134907,6037134907,2021,3354,2328,69.40966
1400000US06037135102,6037135102,2021,3583,3141,87.663971
1400000US06037135111,6037135111,2021,3722,3167,85.088661
1400000US06037135113,6037135113,2021,3182,2525,79.352608
1400000US06037135115,6037135115,2021,3049,2167,71.072479
1400000US06037135116,6037135116,2021,1586,1512,95.334175
1400000US06037135201,6037135201,2021,2911,2687,92.305046
1400000US06037135202,6037135202,2021,4470,4125,92.281876
1400000US06037135204,6037135204,2021,4850,4410,90.927834
1400000US06037135205,6037135205,2021,2041,1852,90.73983
1400000US06037137000,6037137000,2021,5036,4581,90.96505
1400000US06037137103,6037137103,2021,5226,4654,89.054726
1400000US06037137104,6037137104,2021,2477,2232,90.109001
1400000US06037137202,6037137202,2021,3364,2773,82.431625
1400000US06037137203,6037137203,2021,2501,2057,82.247101
1400000US06037137301,6037137301,2021,2075,2016,97.156624
1400000US06037137302,6037137302,2021,4318,3778,87.494209
1400000US06037137401,6037137401,2021,4500,4138,91.955559
1400000US06037137402,6037137402,2021,5472,4522,82.638885
1400000US06037137501,6037137501,2021,4972,4176,83.990349
1400000US06037137502,6037137502,2021,4239,3786,89.313515
1400000US06037137504,6037137504,2021,2009,1713,85.266304
1400000US06037138000,6037138000,2021,4791,4327,90.315178
1400000US06037139001,6037139001,2021,5439,4610,84.758224
1400000US06037139200,6037139200,2021,5688,5381,94.602669
1400000US06037139301,6037139301,2021,4215,3761,89.228943
1400000US06037139302,6037139302,2021,4806,3697,76.924675
1400000US06037139303,6037139303,2021,4303,3650,84.824539
1400000US06037139401,6037139401,2021,2468,2058,83.38736
1400000US06037139402,6037139402,2021,2800,2539,90.678574
1400000US06037139502,6037139502,2021,2867,2546,88.803627
1400000US06037139504,6037139504,2021,3687,3365,91.266609
1400000US06037139505,6037139505,2021,2568,2117,82.437698
1400000US06037139506,6037139506,2021,2949,2298,77.924721
1400000US06037139600,6037139600,2021,5052,4794,94.893112
1400000US06037139701,6037139701,2021,5610,4942,88.09269
1400000US06037139703,6037139703,2021,2400,2249,93.708336
1400000US06037139704,6037139704,2021,2708,2509,92.651405
1400000US06037139705,6037139705,2021,3995,3613,90.438049
1400000US06037139801,6037139801,2021,3518,3216,91.415581
1400000US06037139802,6037139802,2021,3878,3690,95.152138
1400000US06037141101,6037141101,2021,4395,3816,86.825935
1400000US06037141102,6037141102,2021,3024,2752,91.005295
1400000US06037141201,6037141201,2021,3962,3333,84.124176
1400000US06037141202,6037141202,2021,2882,2611,90.596809
1400000US06037141303,6037141303,2021,3299,2725,82.600792
1400000US06037141304,6037141304,2021,3107,2591,83.392342
1400000US06037141305,6037141305,2021,2625,2083,79.352379
1400000US06037141306,6037141306,2021,3082,2642,85.723557
1400000US06037141400,6037141400,2021,5199,4639,89.228699
1400000US06037141500,6037141500,2021,2972,2699,90.81427
1400000US06037141600,6037141600,2021,4120,3852,93.495148
1400000US06037141700,6037141700,2021,3135,2702,86.188194
1400000US06037143101,6037143101,2021,2102,1758,83.634636
1400000US06037143102,6037143102,2021,2119,1667,78.669182
1400000US06037143200,6037143200,2021,4158,3039,73.08802
1400000US06037143301,6037143301,2021,3474,3154,90.788719
1400000US06037143302,6037143302,2021,3267,2783,85.185188
1400000US06037143401,6037143401,2021,5473,4796,87.630188
1400000US06037143402,6037143402,2021,1816,1626,89.537445
1400000US06037143500,6037143500,2021,5531,4859,87.850296
1400000US06037143602,6037143602,2021,4633,4062,87.675369
1400000US06037143603,6037143603,2021,2414,2072,85.832642
1400000US06037143605,6037143605,2021,1724,1129,65.487236
1400000US06037143606,6037143606,2021,1747,1233,70.578133
1400000US06037143700,6037143700,2021,3485,3216,92.281204
1400000US06037143801,6037143801,2021,3251,2754,84.712395
1400000US06037143802,6037143802,2021,2208,1682,76.177536
1400000US06037143901,6037143901,2021,4202,3817,90.8377
1400000US06037143902,6037143902,2021,2892,2653,91.735825
1400000US06037181000,6037181000,2021,5833,4816,82.56472
